City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aberdeen,57.1437,-2.0981,0.36,80,40,3.6,GB,1678493647
83,lalmohan,22.3384,90.7419,23.7,49,86,4.43,BD,1678493647
84,souillac,-20.5167,57.5167,25.78,84,71,5.76,MU,1678493648
85,tomatlan,19.9333,-105.25,26.07,62,5,3.44,MX,1678493649
86,nador,35.174,-2.9287,18.14,39,0,0.51,MA,1678493650
87,provideniya,64.3833,-173.3,-0.74,97,100,4.22,RU,1678493651
88,banda aceh,5.5577,95.3222,25.49,81,100,4.4,ID,1678493652
89,bredasdorp,-34.5322,20.0403,16.83,62,47,2.77,ZA,1678493653
90,batemans bay,-35.7167,150.1833,27.04,36,22,0.94,AU,1678493654
91,bismarck,46.8083,-100.7837,-3.09,90,100,11.83,US,1678493655
92,tasiilaq,65.6145,-37.6368,-11.91,90,14,1.87,GL,1678493657
93,killybegs,54.6333,-8.45,1.82,80,100,2.36,IE,1678493658
94,alofi,-19.0595,-169.9187,26.86,77,98,6.85,NU,1678493658
95,zyryanka,65.75,150.85,-22.81,87,12,5.75,RU,1678493550
96,topeka,39.0483,-95.678,3.88,72,20,4.63,US,1678493612
97,sao filipe,14.8961,-24.4956,23.66,67,2,3.37,CV,1678493660
98,isangel,-19.55,169.2667,27.68,65,26,6.31,VU,1678493661
99,khatanga,71.9667,102.5,-32.02,96,91,1.8,RU,1678493662
100,gambela,8.25,34.5833,28.16,44,73,1.56,ET,1678493663
101,boffa,10.1667,-14.0333,24.72,87,38,0.89,GN,1678493664
102,saint-jean-de-braye,47.913,1.9771,4.46,93,100,3.09,FR,1678493665
103,santa maria,-29.6842,-53.8069,26.58,44,14,3.98,BR,1678493666
104,smidovich,48.6,133.8167,-1.48,98,100,2.3,RU,1678493667
105,saint george,37.1041,-113.5841,14.33,63,100,2.57,US,1678493578
106,opuwo,-18.0607,13.84,21.56,45,96,1.33,NA,1678493668
107,nizhniye vyazovyye,55.7988,48.5248,-10.38,98,73,2.71,RU,1678493669
108,nelson bay,-32.7167,152.15,29.49,57,3,0.83,AU,1678493671
109,vanimo,-2.6741,141.3028,26.99,85,98,0.89,PG,1678493672
110,vostok,46.4856,135.8833,-4.95,92,95,1.94,RU,1678493673
111,borovoy,55.4333,86.0833,-6.4,93,0,3.0,RU,1678493674
112,belaya gora,68.5333,146.4167,-26.56,89,69,2.19,RU,1678493675
113,bethel,41.3712,-73.414,5.67,78,100,2.4,US,1678493676
114,bathsheba,13.2167,-59.5167,26.34,73,40,4.12,BB,1678493677
115,chiredzi,-21.05,31.6667,20.13,92,81,0.93,ZW,1678493678
116,nyahururu,0.0421,36.3673,13.16,74,95,3.19,KE,1678493679
117,zhezkazgan,47.8043,67.7144,-0.15,89,100,3.15,KZ,1678493680
118,minab,27.1467,57.0801,22.51,64,96,0.6,IR,1678493681
119,vikhorevka,56.1201,101.1636,-18.23,100,100,1.72,RU,1678493681
120,kavaratti,10.5669,72.642,27.52,71,0,1.98,IN,1678493682
121,severo-yeniseyskiy,60.3725,93.0408,-8.58,91,100,6.83,RU,1678493683
122,thompson,55.7435,-97.8558,-11.43,91,100,2.14,CA,1678493683
123,itoman,26.1247,127.6694,21.21,64,20,5.66,JP,1678493684
124,tuatapere,-46.1333,167.6833,17.0,65,100,2.9,NZ,1678493685
125,lazaro cardenas,17.9583,-102.2,25.95,66,0,5.23,MX,1678493685
126,nikolskoye,59.7035,30.7861,-13.06,99,31,2.0,RU,1678493686
127,la orilla,17.9833,-102.2333,25.89,66,0,5.21,MX,1678493686
128,pochutla,15.7432,-96.4661,28.23,59,52,2.66,MX,1678493687
129,kutum,14.2,24.6667,19.72,15,93,2.91,SD,1678493687
130,lawrenceburg,38.0373,-84.8966,4.75,73,100,5.66,US,1678493688
131,sterling,39.0062,-77.4286,6.96,92,75,2.06,US,1678493554
132,kuldur,49.2167,131.6333,-4.03,84,100,3.83,RU,1678493546
133,lompoc,34.6391,-120.4579,14.32,84,100,6.17,US,1678493418
134,tabira,-7.5908,-37.5394,26.61,49,99,3.07,BR,1678493690
135,medeiros neto,-17.3739,-40.2206,22.08,82,14,3.62,BR,1678493692
136,morros,-9.4467,-46.3003,25.01,66,33,2.23,BR,1678493693
137,mehamn,71.0357,27.8492,-8.05,67,0,9.77,NO,1678493693
138,shelburne,44.0787,-80.2041,-3.47,92,100,6.36,CA,1678493694
139,frederico westphalen,-27.3592,-53.3944,25.25,63,8,0.83,BR,1678493694
140,phan thiet,10.9333,108.1,21.72,76,12,3.23,VN,1678493695
141,talnakh,69.4865,88.3972,-13.77,95,100,5.33,RU,1678493696
142,axim,4.8699,-2.2405,26.83,84,99,2.76,GH,1678493697
143,la colorada,8.0167,-80.9833,28.69,55,87,1.87,PA,1678493697
144,yar-sale,66.8333,70.8333,-16.47,96,79,2.78,RU,1678493698
145,constitucion,-35.3333,-72.4167,13.09,77,19,2.0,CL,1678493699
146,vao,-22.6667,167.4833,24.98,73,52,5.68,NC,1678493699
147,ponta do sol,32.6667,-17.1,19.84,79,13,1.89,PT,1678493700
148,qaanaaq,77.484,-69.3632,-12.4,62,97,2.78,GL,1678493701
149,upernavik,72.7868,-56.1549,-20.0,66,3,1.16,GL,1678493701
150,faanui,-16.4833,-151.75,27.89,77,46,7.18,PF,1678493705
151,goderich,43.7501,-81.7165,-1.16,87,99,9.86,CA,1678493706
152,fort nelson,58.8053,-122.7002,-13.92,62,75,4.12,CA,1678493707
153,zonguldak,41.25,31.8333,9.79,71,100,2.53,TR,1678493708
154,paragould,36.0584,-90.4973,12.96,63,62,2.29,US,1678493607
155,preston,53.7667,-2.7167,1.03,88,85,1.93,GB,1678493709
156,haines junction,60.7522,-137.5108,-6.68,65,100,3.17,CA,1678493710
157,margate,51.3813,1.3862,2.05,77,91,0.45,GB,1678493711
158,itarema,-2.9248,-39.9167,25.74,82,99,3.67,BR,1678493711
159,mar del plata,-38.0023,-57.5575,22.27,87,100,0.89,AR,1678493712
160,ejido,8.5514,-71.2375,20.31,98,100,0.61,VE,1678493714
161,linden,6.0,-58.3,23.49,80,58,2.36,GY,1678493715
